NAPP-title,NAPP-code (OCCHISCO),HISCO-code,HISCO-nr,check_with_native_speaker,comments
"Linesmen: telephone, telegraph and electric",85700,8-57.40,85740,,
Electrical products inspector or tester,85920,8-59.20,85920,,
Other electrical fitters and related electrical workers,85990,8-59.90,85990,,
Plumbers,87120,8-71.05,87105,,
Pipe fitters,87130,8-71.10,87110,,
Welders,87220,8-72.10,87210,,
"Other welders, braziers, solderers",87290,8-72.90,87290,,
"Sheet metal worker, general",87320,8-73.10,87310,,
Coppersmith or copperware maker,87330,8-73.30,87330,,
"Tinsmith, tinner or tinker",87340,8-73.40,87340,,
Boilermaker,87350,8-73.50,87350,,
Other sheet metal workers,87390,8-73.90,87390,,
Structural metal workers,87420,8-74.00,87400,,
Rivetters nec,87430,8-74.62,87462,,
Other structural metal preparers and erectors,87490,8-74.90,87490,,
Ship and boat builders,87520,8-74.50,87450,,
Shipwrights and ship joiners,87530,9-54.40,95440,,
Ship’s carpenters,87540,9-54.55,95455,,
"Block, mast and tackle makers",87550,8-19.90,81990,,
Other ship builders,87590,8-74.50,87450,,
Jewellers,88020,8-80.10,88010,,
Goldsmith,88030,8-80.50,88050,,
Silversmith,88040,8-80.50,88050,,
Working with gems and stones,88050,8-80.90,88090,,
Other jewellery and precious metal workers,88090,8-80.90,88090,,
Glass makers,89120,8-93.20,89320,,
Glass bottle makers,89130,8-92.10,89210,,
Other specific glass makers,89190,8-91.90,89190,,
Pottery and porcelain makers and workers,89200,8-92.00,89200,,
Brick and tile makers,89300,8-92.42,89242,,
"Glass engravers, etchers and finishers",89400,8-94.00,89400,,
Pottery and porcelain painters,89500,8-95.00,89500,,
Cement makers,89620,9-74.70,97470,,
Lime burners,89630,7-42.30,74230,,
Clay-based products makers,89700,8-92.00,89200,,
Rubber product makers,90100,9-01.00,90100,,
Tire makers and vulcanisers,90200,9-02.00,90200,,
"Paper and paperboard products makers, except boxes",91020,9-10.90,91090,,
Other paper product makers,91090,9-10.90,91090,,
Printers nec,92000,9-20.00,92000,,
Printers nfs,92110,9-21.10,92110,,
Compositors,92120,9-21.20,92120,,
Other compositors and typesetters,92190,9-21.90,92190,,
Lithographic printers,92200,9-22.50,92250,,
Stereotypers and electrotypers,92300,9-23.00,92300,,
Lithographers,92400,9-24.15,92415,,
Photo-engravers,92500,9-25.10,92510,,
Bookbinders and related workers,92600,9-26.25,92625,,
Textile printers,92800,9-29.50,92950,,
Other printers and related workers,92900,9-29.90,92990,,
"Painters, nfs",93110,9-31.20,93120,,
"Painters, construction",93120,9-31.20,93120,,
"Painters, ship",93130,9-31.30,93130,,
Other specialised painters nec,93190,9-39.90,93990,,
Decorators,93200,9-31.20,93120,,
Lacquerers and enamellers,93320,9-39.20,93920,,
Japanners,93330,9-39.20,93920,,
Gilders,93400,9-26.90,92690,,
Musical instrument maker nfs,94110,9-41.00,94100,,
Piano maker,94120,9-41.70,94170,,
Piano tuner,94130,9-41.80,94180,,
Organ builder,94140,9-41.60,94160,,
Other musical instrument makers and tuner,94190,9-41.90,94190,,
Basket makers,94220,9-42.20,94220,,
Brush makers,94230,9-42.30,94230,,
Broom makers,94240,9-42.40,94240,,
Bristle and straw workers nec,94290,9-42.90,94290,,
Non-metallic mineral product makers,94300,9-43.90,94390,,
"Other production or related worker, specialisation unknown",94910,9-49.00,94900,,
"Animal stuffers, taxidermists and shell workers",94920,9-49.20,94920,,
Linoleum makers and floor cloth makers,94930,9-49.30,94930,,
Toy and doll makers,94940,9-94.90,99490,,
Production and related workers nec,94990,9-49.90,94990,,
Mason nfs or combined,95110,9-51.90,95190,,
Bricklayers,95120,9-51.35,95135,,
Stone masons,95130,9-51.35,95135,,
Plasterers,95140,9-55.10,95510,,
Paviours,95150,9-51.60,95160,,
Marble mason,95160,9-51.45,95145,,
Others in construction,95190,9-51.90,95190,,
Cement masons and finishers,95200,9-52.40,95240,,
"Roofer, specialisation unknown",95310,9-53.00,95300,,
Slate and tile roofers,95320,9-35.20,93520,,
Thatchers,95330,9-53.60,95360,,
Other roofers,95390,9-53.90,95390,,
Carpenter and joiner,95410,9-54.15,95415,,
Carpenters,95420,9-54.10,95410,,
Joiners,95430,9-54.90,95490,,
Scaffolders,95440,9-59.40,95940,,
Other wooden construction workers,95490,9-54.90,95490,,
Pipe coverers and Insulators,95600,9-56.20,95620,,
Glaziers,95700,9-57.20,95720,,
Construction workers nec,95910,9-50.00,95000,,
Paperhangers,95920,9-59.25,95925,,
Carpet planners,95930,9-59.30,95930,,
Whitewashers,95940,5-60.10,56010,,
Demolition workers,95950,9-59.45,95945,,
Others in building construction,95990,9-59.90,95990,,
Electricity generators,96100,9-61.00,96100,,
Engineers (US) nfs,96220,0-39.90,03990,,
Stationary engineers and engine men,96230,9-69.30,96930,,
Stationary firemen and firemen nfs,96240,9-69.10,96910,,
Other stationary engine and related equipment operators,96900,9-69.90,96990,,
Ship boat loaders and dock workers,97120,9-71.20,97120,,
Railway freight handlers,97130,9-71.30,97130,,
Porters,97140,9-71.25,97125,,
Packers,97150,9-71.52,97152,,
Other freight handlers,97190,9-71.90,97190,,
Riggers nec or nfs,97210,9-72.05,97205,,
Ship riggers,97220,9-72.30,97230,,
Crane and hoist operators,97300,9-73.15,97315,,
"Navvy, excavator and diggers, nfs",97410,9-74.15,97415,,
"Road builders, workers and labourers",97420,9-74.00,97400,,
"Railway builders, workers and labourers",97430,9-99.10,99910,,
"Waterway and harbour builders, workers and labourers",97440,9-50.00,95000,,
"Other road, railway and related construction labourers",97490,9-74.00,97400,,
Material handling equipment operators nec,97900,9-79.00,97900,,
Seamen,98120,9-81.35,98135,,
Boatmen and canalmen,98130,9-81.00,98100,,
"Other crew of boats, ships, etc.",98190,9-81.90,98190,,
Ship's engine men,98200,9-82.90,98290,,
Railway/railroad engineers and enginemen,98320,0-24.30,2430,,
Railway/railroad firemen and stokers,98330,9-83.30,98330,,
Railway brakemen,98420,9-84.20,98420,,
Railway signallers,98430,9-84.30,98430,,
Railway switchmen and shunters,98440,9-84.40,98440,,
Others skilled railway workers,98490,9-89.90,98990,,
"Drivers, nec",98510,9-85.90,98590,,
Drivers (private),98520,9-85.90,98590,,
"Drivers (personal, for hire)",98530,9-85.30,98530,,
Drivers (public),98540,9-85.40,98540,,
Delivery men and drivers of goods,98550,9-80.00,98000,,
Drivers (general haulage),98560,9-85.55,98555,,
Carter (agricultural),98562,9-86.20,98620,,
"Teamsters (inc. mine driver, etc.)",98570,9-85.00,98500,,
Others drivers,98590,9-85.90,98590,,
Lock and gate keepers,98700,9-89.30,98930,,
Lock keepers,98720,9-89.30,98930,,
Gate keepers,98730,9-89.90,98990,,
Other transport equipment operators,98900,9-89.90,98990,,
Labourers nfs,99120,9-99.10,99910,,
Common labourers or general labourers,99130,9-99.10,99910,,
Day labourers (e.g journalier),99140,9-99.20,99920,,
Worker nfs,99150,9-99.00,99900,,
Factory labourers (unspecified),99200,9-99.30,99930,,
Occupational title unclassifiable,99300,-1,-1,,
Assistants nfs,99420,9-99.99,99999,,
Apprentices nfs,99450,9-99.99,99999,,
Ambiguous responses,99500,9-99.99,99999,,
